time_iso8601,stars_cumulative
2024-01-26 00:00:00+00:00,4
2024-01-27 00:00:00+00:00,5
2024-01-28 00:00:00+00:00,6
2024-02-01 00:00:00+00:00,7
2024-02-02 00:00:00+00:00,8
2024-02-04 00:00:00+00:00,9
2024-02-18 00:00:00+00:00,10
2024-02-20 00:00:00+00:00,11
2024-03-02 00:00:00+00:00,12
2024-03-04 00:00:00+00:00,13
2024-03-08 00:00:00+00:00,14
2024-03-09 00:00:00+00:00,15
2024-03-14 00:00:00+00:00,16
2024-03-25 00:00:00+00:00,17
2024-03-26 00:00:00+00:00,19
2024-03-27 00:00:00+00:00,22
2024-03-29 00:00:00+00:00,23
2024-03-31 00:00:00+00:00,24
2024-04-03 00:00:00+00:00,25
2024-04-04 00:00:00+00:00,26
2024-04-07 00:00:00+00:00,28
2024-04-08 00:00:00+00:00,29
2024-04-12 00:00:00+00:00,30
2024-04-20 00:00:00+00:00,31
2024-04-21 00:00:00+00:00,32
2024-04-27 00:00:00+00:00,33
2024-04-30 00:00:00+00:00,34
2024-05-01 00:00:00+00:00,35
2024-05-07 00:00:00+00:00,36
2024-05-09 00:00:00+00:00,37
2024-05-17 00:00:00+00:00,40
2024-05-18 00:00:00+00:00,41
2024-05-21 00:00:00+00:00,43
2024-06-11 00:00:00+00:00,44
2024-06-16 00:00:00+00:00,45
2024-06-25 00:00:00+00:00,46
2024-07-03 00:00:00+00:00,48
2024-07-07 00:00:00+00:00,49
2024-07-08 00:00:00+00:00,50
2024-07-09 00:00:00+00:00,51
2024-07-10 00:00:00+00:00,53
2024-07-11 00:00:00+00:00,72
2024-07-12 00:00:00+00:00,82
2024-07-13 00:00:00+00:00,85
2024-07-14 00:00:00+00:00,87
2024-07-15 00:00:00+00:00,88
2024-07-16 00:00:00+00:00,91
2024-07-17 00:00:00+00:00,92
2024-07-18 00:00:00+00:00,97
2024-07-19 00:00:00+00:00,101
2024-07-21 00:00:00+00:00,102
2024-07-22 00:00:00+00:00,108
2024-07-23 00:00:00+00:00,111
2024-07-24 00:00:00+00:00,113
2024-07-25 00:00:00+00:00,115
2024-07-27 00:00:00+00:00,116
2024-07-30 00:00:00+00:00,117
2024-07-31 00:00:00+00:00,129
2024-08-01 00:00:00+00:00,136
2024-08-02 00:00:00+00:00,138
2024-08-03 00:00:00+00:00,139
2024-08-04 00:00:00+00:00,141
2024-08-05 00:00:00+00:00,142
2024-08-09 00:00:00+00:00,143
2024-08-10 00:00:00+00:00,144
2024-08-12 00:00:00+00:00,147
2024-08-13 00:00:00+00:00,148
2024-08-15 00:00:00+00:00,150
2024-08-18 00:00:00+00:00,152
2024-08-21 00:00:00+00:00,155
2024-08-22 00:00:00+00:00,156
2024-08-23 00:00:00+00:00,157
2024-08-25 00:00:00+00:00,159
2024-08-26 00:00:00+00:00,161
2024-09-03 00:00:00+00:00,162
2024-09-04 00:00:00+00:00,166
2024-09-06 00:00:00+00:00,167
2024-09-09 00:00:00+00:00,168
2024-09-11 00:00:00+00:00,173
2024-09-12 00:00:00+00:00,174
2024-09-13 00:00:00+00:00,175
2024-09-15 00:00:00+00:00,176
2024-09-16 00:00:00+00:00,177
2024-09-17 00:00:00+00:00,178
2024-09-19 00:00:00+00:00,179
2024-09-20 00:00:00+00:00,180
2024-09-21 00:00:00+00:00,181
2024-09-23 00:00:00+00:00,182
2024-09-24 00:00:00+00:00,183
2024-09-25 00:00:00+00:00,186
2024-09-26 00:00:00+00:00,188
2024-09-27 00:00:00+00:00,190
2024-09-28 00:00:00+00:00,191
2024-10-02 00:00:00+00:00,192
2024-10-03 00:00:00+00:00,193
2024-10-05 00:00:00+00:00,194
2024-10-06 00:00:00+00:00,195
2024-10-07 00:00:00+00:00,196
2024-10-08 00:00:00+00:00,198
2024-10-09 00:00:00+00:00,199
2024-10-11 00:00:00+00:00,201
2024-10-13 00:00:00+00:00,202
2024-10-14 00:00:00+00:00,204
